"time";"lambda_T";"B"
412;8,24;39,9500081566764
416;8,32;49,1487666625259
460;9,2;17,2879075675898
126;2,52;26,1265003763785
176;3,52;11,6819992512768
222;4,44;10,8487100269943
228;4,56;1,52389211065223
279;5,58;6,36452113067072
282;5,64;37,3629416135129
299;5,98;35,4535939005304
416;8,32;11,5399789839864
462;9,24;17,1251768460103
111;2,22;10,6624494063327
117;2,34;0,547067291074857
308;6,16;26,8086974367291
344;6,88;16,4769376966426
383;7,66;8,0084645522898
429;8,58;25,3984382745973
441;8,82;29,2549835403629
465;9,3;16,9295838863905
488;9,76;5,92770643195988
121;2,42;15
264;5,28;11,9757541813814
319;6,38;13,1992127235882
345;6,9;14,7734209510869
353;7,06;5
379;7,58;10,5129386982884
417;8,34;33,0429696233391
429;8,58;39,9210303866451
481;9,62;18,5377063008522
126;2,52;23,6019756921774
190;3,8;6,52959705484511
196;3,92;24,7459928489721
267;5,34;6,64975010807235
276;5,52;27,9991576514783
402;8,04;11,0624682116786
414;8,28;38,9411104071545
448;8,96;21,9686592670621
479;9,58;16,0630906745944
12;0,24;45,5356071600387
104;2,08;19,0574142718143
136;2,72;5
265;5,3;14,569435079785
296;5,92;26,5199393549133
311;6,22;27,5735611417647
446;8,92;24,6289415633365
457;9,14;23,0499121978826
483;9,66;11,5751379054206
93;1,86;26,6356195746163
110;2,2;9,17371901015833
129;2,58;1,18541989980382
260;5,2;9,97270028237648
342;6,84;8,9285092717956
422;8,44;9,19082406530929
429;8,58;41,29994766171
464;9,28;17,8448178641253
499;9,98;0,421164180631564
84;1,68;26,5347787857553
175;3,5;12,1882986324067
266;5,32;13,349731682048
408;8,16;15
409;8,18;69,5418973611541
420;8,4;39,4114211182084
451;9,02;23,2481775231273
478;9,56;10,6524631019224
489;9,78;0,948864268750335
120;2,4;20,9430988387377
140;2,8;19,1179668468311
141;2,82;31,9511965690161
182;3,64;16,5137790229553
290;5,8;44,252271531778
350;7;14,9637621525883
404;8,08;18,8565040105573
475;9,5;13,4954940585903
482;9,64;4,36336023839998
42;0,84;30,1120809852069
114;2,28;25,6547850588224
130;2,6;19,2270918610175
136;2,72;17,8774291951375
213;4,26;9,49931416181109
268;5,36;8,40907244419224
344;6,88;11,5181178234105
354;7,08;5
405;8,1;26,7556958485816
86;1,72;27,5132469889009
130;2,6;10
194;3,88;14,5323458346573
262;5,24;5,15694651569798
300;6;21,5643845115079
318;6,36;23,9465040459131
346;6,92;14,6419447347656
442;8,84;4,95300653383056
458;9,16;23,3255009898862
31;0,62;49,6827519150586
56;1,12;37,9149870926433
65;1,3;34,6982819836228
116;2,32;21,5851402242649
220;4,4;3,35915357354582
329;6,58;11,2248350994517
339;6,78;14,4162247147856
388;7,76;3,41064419309717
398;7,96;33,266747162464
52;1,04;34,4647874537797
123;2,46;21,1206499570093
210;4,2;5
227;4,54;2,10731227108163
236;4,72;5,1903414988983
417;8,34;11,0817611493581
428;8,56;39,6784703510731
485;9,7;17,2668481509347
496;9,92;8,91135186634981
143;2,86;24,0299626343011
217;4,34;11,7864115364718
245;4,9;0,138345190933079
251;5,02;14,6080261359949
303;6,06;11,8529608167506
341;6,82;17,3433130415749
364;7,28;5,69299558969668
367;7,34;19,644638811596
375;7,5;16,3236280899941
16;0,32;44,757547052873
31;0,62;46,4884111126382
35;0,7;45,8453911365633
233;4,66;27,7694357143075
278;5,56;8,7469566013454
315;6,3;22,998452725593
346;6,92;15,1422507556034
417;8,34;13,8127070095421
470;9,4;16,1862668719047
102;2,04;15,921989380237
154;3,08;5
155;3,1;32,0515991356466
338;6,76;37,3534179577017
356;7,12;5
362;7,24;12,1715119945037
399;7,98;18,0175939021683
434;8,68;29,6674575455545
441;8,82;29,7458567968019
134;2,68;18,5018699425806
166;3,32;21,7697415900834
218;4,36;16,3321264872137
224;4,48;0,232936082223283
237;4,74;4,18137943725898
287;5,74;11,1788577177967
310;6,2;25,0442612768075
311;6,22;29,6573043412638
453;9,06;22,2666638313872
95;1,9;25,5233583880457
104;2,08;11,3234592581415
184;3,68;2,40954256407075
300;6;18,6781967663633
301;6,02;36,676046588635
304;6,08;32,4982557688232
317;6,34;29,4093796596934
411;8,22;21,617645814418
494;9,88;14,559306167867
74;1,48;28,9305437094324
113;2,26;15,3498630720401
120;2,4;7,4522450867211
245;4,9;6,26231131030894
307;6,14;10,0990977951073
357;7,14;12,6060079786657
362;7,24;12,7209133449096
368;7,36;14,0650182602849
398;7,96;21,0897981684514
28;0,56;43,2657077065426
51;1,02;40,4194894920887
203;4,06;29,7929048402368
290;5,8;35,8809271511766
298;5,96;38,0761979868784
345;6,9;16,4648039918712
349;6,98;5
433;8,66;3,13558719241484
489;9,78;15,1629603761476
32;0,64;52,1706354333942
236;4,72;28,0524254577474
237;4,74;10,7294738794129
241;4,82;8,65747790974817
248;4,96;10,2940019549344
283;5,66;15,629908671243
293;5,86;33,7891497972618
356;7,12;13,6189983843193
484;9,68;1,87758018337678
69;1,38;27,5637150359695
78;1,56;28,4215162034092
92;1,84;22,9091365472133
159;3,18;6,28554274284104
243;4,86;14,421836534964
328;6,56;5,17149293554746
372;7,44;0,531678499694391
384;7,68;25,0110534535632
479;9,58;12,7858845241876
81;1,62;27,9938103910378
192;3,84;16,4321194158135
281;5,62;10,4568733649684
384;7,68;8,63251874760015
401;8,02;32,5921703305921
403;8,06;48,2354025232006
446;8,92;18,6163786283096
470;9,4;14,7251064226478
480;9,6;7,73008035401785
125;2,5;13,2532883087369
130;2,6;26,0443386753981
147;2,94;19,4580595243319
205;4,1;18,0200330215039
221;4,42;6,3019700534447
226;4,52;2,03507889879476
352;7,04;10,005423286782
389;7,78;11,0366481710415
427;8,54;27,7565820908284
85;1,7;24,4614841551879
210;4,2;19,2007647959925
255;5,1;2,49333679470966
286;5,72;21,3624220082295
333;6,66;16,584601029673
447;8,94;14,8046410509597
462;9,24;16,7933450194959
466;9,32;11,8127171063529
491;9,82;3,89730396378139
113;2,26;20,7192900764749
293;5,86;26,0597300957724
350;7;15,1612599895519
400;8;11,5124187329123
423;8,46;31,6021520440107
429;8,58;41,5477397974863
434;8,68;38,6037173172985
464;9,28;17,7440487567164
480;9,6;10,2997180412561
93;1,86;25,4422035073197
120;2,4;8,6612092830973
167;3,34;14,2260486266555
192;3,84;22,5998576357491
201;4,02;24,1085220772304
281;5,62;6,70345180009883
312;6,24;23,4775574064654
350;7;14,3257657016463
464;9,28;7,13270535376018
103;2,06;18,8624992592252
147;2,94;5
181;3,62;18,9139737451663
203;4,06;24,2186933467527
270;5,4;12,0342080719795
308;6,16;23,1311242540042
359;7,18;11,7454153871334
395;7,9;13,8048911474286
405;8,1;51,0622017511405
32;0,64;45,3343360784115
54;1,08;42,7772567680465
58;1,16;44,0140053708126
72;1,44;34,6876445958963
220;4,4;23,0489905208987
277;5,54;5
305;6,1;25,2596793765474
367;7,34;9,0213573119113
374;7,48;15,7060084161779
70;1,4;32,7819666472089
72;1,44;34,189048023919
197;3,94;23,820318904234
210;4,2;16,7285895999858
319;6,38;19,3119313709594
386;7,72;6,29593627522335
408;8,16;52,5635305017588
423;8,46;35,0434668730583
479;9,58;19,3999516816521
47;0,94;36,9565674894414
58;1,16;42,8283848373653
138;2,76;22,5111858213667
147;2,94;24,2326011970669
164;3,28;22,7264181195146
174;3,48;28,4427311047878
318;6,36;29,2193482050098
335;6,7;17,6010896286948
350;7;8,51084675633061
38;0,76;49,1581862510387
205;4,1;32,6458960279482
386;7,72;5,2321902875966
423;8,46;24,6201739780725
424;8,48;40,3804481988853
426;8,52;41,1291593372925
441;8,82;28,8385966447001
457;9,14;23,5925162930112
482;9,64;12,032398552301
149;2,98;19,5065631748339
298;5,96;21,7897960151175
310;6,2;27,8567998748378
350;7;14,5858407572374
389;7,78;9,8988510123119
414;8,28;32,2385706555415
453;9,06;22,1425970125447
490;9,8;9,66462449364156
491;9,82;8,85254283606353
107;2,14;16,2710283415054
155;3,1;5,07792675169964
195;3,9;19,7338595116731
211;4,22;16,8243942738346
245;4,9;2,66697900783492
250;5;13,985857296557
285;5,7;17,8961061769957
304;6,08;28,0277373704578
332;6,64;18,7900958927544
41;0,82;40,132305710742
116;2,32;24,966040247628
239;4,78;5,81250261957284
254;5,08;12,7895801508638
291;5,82;20
323;6,46;27,5878232314232
334;6,68;17,0690763032885
367;7,34;5
470;9,4;1,43788477040828
209;4,18;16,0609784356005
212;4,24;13,2465166237633
324;6,48;16,6512684355753
363;7,26;6,40501511589552
365;7,3;17,8691084229695
454;9,08;3,42209312497446
457;9,14;21,6535031938605
480;9,6;12,9270067354168
491;9,82;3,15917018083461
41;0,82;37,7027387160129
124;2,48;21,8894263167075
151;3,02;23,1091188618736
227;4,54;7,62759477102813
272;5,44;6,65998902646094
446;8,92;33,5243528331013
454;9,08;23,5884830743185
460;9,2;15,9089891950853
488;9,76;8,03118730116352
74;1,48;15,5389705626367
88;1,76;25,2001205700121
148;2,96;9,73404653371929
197;3,94;17,6469552406005
338;6,76;24,7859173764282
350;7;7,39259550956528
374;7,48;5,8540103714403
391;7,82;25,576985152992
439;8,78;17,4879722958267
214;4,28;12,5844852462707
257;5,14;0,594203657514308
274;5,48;26,034061508886
284;5,68;30,8277575034263
368;7,36;9,60989608406028
377;7,54;18,1752672927906
398;7,96;26,6269226827918
450;9;17,3775314174308
481;9,62;14,7051973043525
31;0,62;40,8133960550151
56;1,12;37,9149870926433
153;3,06;25,2056536738083
186;3,72;17,5737524204641
189;3,78;24,9182852788074
298;5,96;12,8080536169393
374;7,48;11,974292832302
378;7,56;22,5136843285647
410;8,2;53,9338436055913
131;2,62;17,7661915043425
156;3,12;20,0722127164312
208;4,16;15,6104067327388
313;6,26;17,5734715052721
362;7,24;9,69596141812188
369;7,38;14,6638290146228
394;7,88;19,3038824746653
440;8,8;19,0520175609063
495;9,9;11,1566031333303
128;2,56;18,3661705714537
168;3,36;19,3257318064389
229;4,58;9,00513120127736
317;6,34;0,0837699567832806
339;6,78;16,7960293529947
361;7,22;5
391;7,82;17,5738622706366
408;8,16;55,3941729300914
484;9,68;17,2743093671758
60;1,2;43,9425392688706
281;5,62;0,743811486304208
285;5,7;34,6705684312901
294;5,88;34,9573004317777
298;5,96;39,3455077873197
357;7,14;13,2981176619663
374;7,48;9,76752604487924
418;8,36;30,6294174127037
462;9,24;17,3958834721792
17;0,34;48,3098113141692
135;2,7;26,9597512255974
177;3,54;11,8825655531104
191;3,82;24,2404324132388
203;4,06;23,9079987828299
214;4,28;14,2967052910193
407;8,14;3,45124452899708
435;8,7;28,0289053584886
450;9;24,6249796410505
40;0,8;38,6190934734932
73;1,46;27,6969679916207
106;2,12;13,8599254207698
158;3,16;6,17482694730731
206;4,12;21,1114318597638
303;6,06;17,9152739077159
339;6,78;17,7243388263938
345;6,9;9,11051196480363
425;8,5;2,30176062051153
17;0,34;47,7237183088394
37;0,74;39,9137852201302
147;2,94;27,0046801262398
206;4,12;18,0664299053341
232;4,64;6,30630583065176
339;6,78;8,34873422503189
387;7,74;2,81941337079025
431;8,62;23,1782010785762
486;9,72;16,5959069662825
135;2,7;27,253234163258
154;3,08;21,3404675455136
211;4,22;15,037026849198
265;5,3;1,18060757966055
270;5,4;28,4973276087842
319;6,38;15,7033288749489
420;8,4;7,90362508541644
451;9,02;23,2481775231273
466;9,32;14,8969487733823
43;0,86;45,5860965168625
114;2,28;25,625883330838
133;2,66;1,09041009958598
142;2,84;28,3458202932625
182;3,64;16,9765745751132
285;5,7;21,8070114133719
311;6,22;24,6123451209502
343;6,86;16,4816862460492
390;7,8;6,66737158012594
49;0,98;43,8421989196624
138;2,76;24,5678272687221
175;3,5;17,6711121360293
260;5,2;11,2884771900444
305;6,1;17,3845224561612
341;6,82;17,3139128851674
376;7,52;2,37045429639394
465;9,3;5,03628299221648
471;9,42;8,84808179326069
146;2,92;25,9851552850752
150;3;35,4076272907163
223;4,46;8,04881475827112
297;5,94;3,19604285012495
354;7,08;14,2148983343867
