"";"t0";"t1";"Dist";"Var1";"Var2";"Var3";"Var4"
"21221";500,79018796267;547;0,0216781969848318;0,5;0,1;0,3;0,1
"30481";500,79018796267;547;0,0181446854744657;0,45;0,1;0,3;0,15
"384211";500,79018796267;547;0,0165551525763239;0,55;0,1;0,15;0,2
"296011";500,79018796267;547;0,0156095536897497;0,55;0,1;0,2;0,15
"48121";500,79018796267;547;0,0138728554916647;0,45;0,1;0,2;0,25
"476811";500,79018796267;547;0,0135326237228379;0,5;0,1;0,15;0,25
"39301";500,79018796267;547;0,0112121950282485;0,45;0,1;0,25;0,2
"30041";500,79018796267;547;0,010313600355016;0,5;0,1;0,25;0,15
"388611";500,79018796267;547;0,00269745055758028;0,5;0,1;0,2;0,2
"16361";683,79018796267;730;0,0570657205130242;0,05;0,1;0,8;0,05
"14601";683,79018796267;730;0,0551500451130973;0,25;0,1;0,6;0,05
"7981";683,79018796267;730;0,0538012963732021;0;0,1;0,9;0
"84701";683,79018796267;730;0,0535991108990097;0,35;0,05;0,15;0,45
"60001";683,79018796267;730;0,0528397513465289;0,15;0,05;0,5;0,3
"67061";683,79018796267;730;0,0519438516988708;0,35;0,05;0,25;0,35
"15921";683,79018796267;730;0,0518309703974832;0,1;0,1;0,75;0,05
"78521";683,79018796267;730;0,0515429576435753;0,05;0,05;0,5;0,4
"102781";683,79018796267;730;0,051490518323424;0,3;0,05;0,1;0,55
"15041";683,79018796267;730;0,0509391946786799;0,2;0,1;0,65;0,05
"75881";683,79018796267;730;0,0508150048724598;0,35;0,05;0,2;0,4
"121301";683,79018796267;730;0,0507996157289036;0,2;0,05;0,1;0,65
"15481";683,79018796267;730;0,0497192027346254;0,15;0,1;0,7;0,05
"69261";683,79018796267;730;0,0491293483146672;0,1;0,05;0,5;0,35
"122181";683,79018796267;730;0,0490376149604254;0,1;0,05;0,2;0,65
"112041";683,79018796267;730;0,0477272484726877;0,25;0,05;0,1;0,6
"59561";683,79018796267;730;0,0477068795577885;0,2;0,05;0,45;0,3
"59121";683,79018796267;730;0,0463864796036498;0,25;0,05;0,4;0,3
"121741";683,79018796267;730;0,0461213972027992;0,15;0,05;0,15;0,65
"5781";683,79018796267;730;0,0459853935069459;0,25;0,1;0,65;0
"7541";683,79018796267;730;0,0456317790535591;0,05;0,1;0,85;0
"87341";683,79018796267;730;0,0452091929977119;0,05;0,05;0,45;0,45
