"";"time";"Dist";"Var1";"Var2";"Var3";"Var4"
"14141";426;0,0292564368654707;0,35;0,05;0,55;0,05
"30021";426;0,0286332729230685;0,55;0,05;0,25;0,15
"22961";426;0,0285475829021146;0,35;0,05;0,5;0,1
"40161";426;0,028372148315188;0,4;0,05;0,35;0,2
"20761";426;0,0282100029036716;0,6;0,05;0,25;0,1
"39721";426;0,0279519230035959;0,45;0,05;0,3;0,2
"31341";426;0,0245535535822822;0,4;0,05;0,4;0,15
"30461";426;0,0238413358846852;0,5;0,05;0,3;0,15
"4881";426;0,0235564638934534;0,4;0,05;0,55;0
"2681";426;0,0223962031724651;0,65;0,05;0,3;0
"30901";426;0,0223847678098618;0,45;0,05;0,35;0,15
"22521";426;0,0223081040633944;0,4;0,05;0,45;0,1
"13701";426;0,0219871774286545;0,4;0,05;0,5;0,05
"21201";426;0,021405297609654;0,55;0,05;0,3;0,1
"22081";426;0,0179965644069418;0,45;0,05;0,4;0,1
"21641";426;0,0174952497169222;0,5;0,05;0,35;0,1
"4441";426;0,0159093004831149;0,45;0,05;0,5;0
"13261";426;0,0155948302126946;0,45;0,05;0,45;0,05
"12381";426;0,0143993541284316;0,55;0,05;0,35;0,05
"12821";426;0,0121178697162376;0,5;0,05;0,4;0,05
"4001";426;0,00916747385628345;0,5;0,05;0,45;0
"3561";426;0,00773797014652346;0,55;0,05;0,4;0
"38881";457;0,0220517014969741;0,45;0,15;0,2;0,2
"76781";457;0,0216724906606601;0,2;0,1;0,3;0,4
"20801";457;0,0213560766006345;0,5;0,15;0,25;0,1
"75461";457;0,0212968547690835;0,35;0,1;0,15;0,4
"3161";457;0,0210505388359779;0,5;0,15;0,35;0
"11981";457;0,0204376982453513;0,5;0,15;0,3;0,05
"5801";457;0,0202498907104644;0,2;0,15;0,65;0
"94861";457;0,02011968890369;0,15;0,1;0,25;0,5
"40201";457;0,0200501694471445;0,3;0,15;0,35;0,2
"31821";457;0,0199185665388787;0,25;0,15;0,45;0,15
"103681";457;0,0195847570603462;0,15;0,1;0,2;0,55
"120881";457;0,0194624054558965;0,2;0,1;0,05;0,65
"39321";457;0,0186294012421882;0,4;0,15;0,25;0,2
"76341";457;0,0182483968082362;0,25;0,1;0,25;0,4
"75901";457;0,0181044512516069;0,3;0,1;0,2;0,4
"30061";457;0,0179074582129027;0,45;0,15;0,25;0,15
"39761";457;0,0178109477436714;0,35;0,15;0,3;0,2
"84281";457;0,0174174833763568;0,35;0,1;0,1;0,45
"120441";457;0,0173766714194854;0,25;0,1;0;0,65
"101921";457;0,0172937957845461;0,35;0,1;0;0,55
"23001";457;0,0160352179872115;0,25;0,15;0,5;0,1
"85601";457;0,0159557717854515;0,2;0,1;0,25;0,45
"93101";457;0,0158282100964299;0,35;0,1;0,05;0,5
"21241";457;0,0149184349354366;0,45;0,15;0,3;0,1
"3601";457;0,0149058291278453;0,45;0,15;0,4;0
"31381";457;0,0146012635420749;0,3;0,15;0,4;0,15
"112061";457;0,0138855713981132;0,2;0,1;0,1;0,6
"12421";457;0,0137935607157996;0,45;0,15;0,35;0,05
"14181";457;0,0136967916673647;0,25;0,15;0,55;0,05
"5361";457;0,0136626428361792;0,25;0,15;0,6;0
"30501";457;0,0134371940400991;0,4;0,15;0,3;0,15
"84721";457;0,0120678571376846;0,3;0,1;0,15;0,45
"30941";457;0,0119646808135414;0,35;0,15;0,35;0,15
"94421";457;0,011594226689383;0,2;0,1;0,2;0,5
"85161";457;0,0113625783545519;0,25;0,1;0,2;0,45
"103241";457;0,0106127377744805;0,2;0,1;0,15;0,55
"111621";457;0,0101418735885076;0,25;0,1;0,05;0,6
"22561";457;0,00972203530341238;0,3;0,15;0,45;0,1
"4041";457;0,00911439414816431;0,4;0,15;0,45;0
"21681";457;0,00906282447339486;0,4;0,15;0,35;0,1
"102361";457;0,00854380249483502;0,3;0,1;0,05;0,55
"4921";457;0,00783186643625512;0,3;0,15;0,55;0
"93541";457;0,00770990907976437;0,3;0,1;0,1;0,5
"12861";457;0,00708244010583507;0,4;0,15;0,4;0,05
"13741";457;0,00666355413367474;0,3;0,15;0,5;0,05
"22121";457;0,00616654009134885;0,35;0,15;0,4;0,1
"4481";457;0,0053207135436031;0,35;0,15;0,5;0
"93981";457;0,00451169949806784;0,25;0,1;0,15;0,5
"102801";457;0,00321511637125719;0,25;0,1;0,1;0,55
"13301";457;0,000506691089819278;0,35;0,15;0,45;0,05
"11521";488;0,0894919528053527;0,6;0,1;0,25;0,05
"37081";488;0,0883379615616981;0,75;0,05;0;0,2
"28301";488;0,0882445974859053;0,65;0,15;0,05;0,15
"65321";488;0,0874465295393815;0,5;0,1;0,05;0,35
"19481";488;0,0869779355593349;0,65;0,15;0,1;0,1
"27821";488;0,0866527351033437;0,8;0,05;0;0,15
"38421";488;0,0862691417521884;0,55;0,1;0,15;0,2
"10661";488;0,0861103971092308;0,65;0,15;0,15;0,05
"2261";488;0,0858855557473466;0,65;0,1;0,25;0
"74141";488;0,0858566634365196;0,5;0,1;0;0,4
"1841";488;0,085642442430269;0,65;0,15;0,2;0
"18561";488;0,0854236764843168;0,85;0,05;0;0,1
"20341";488;0,0851192191047759;0,6;0,1;0,2;0,1
"9301";488;0,0846278806963749;0,9;0,05;0;0,05
"41";488;0,0842406177493617;0,95;0,05;0;0
"47241";488;0,0831067077796673;0,55;0,1;0,1;0,25
"27861";488;0,0815768515998193;0,7;0,15;0;0,15
"11081";488;0,0810382811704738;0,65;0,1;0,2;0,05
"56061";488;0,0804015593262211;0,55;0,1;0,05;0,3
"19041";488;0,0802025870543052;0,7;0,15;0,05;0,1
"10221";488;0,0792605163251;0,7;0,15;0,1;0,05
"1401";488;0,0787529311572322;0,7;0,15;0,15;0
"64881";488;0,0782292458526996;0,55;0,1;0;0,35
"1821";488;0,0775614814422335;0,7;0,1;0,2;0
"37981";488;0,0772887907090951;0,6;0,1;0,1;0,2
"19901";488;0,0764238569107889;0,65;0,1;0,15;0,1
"46801";488;0,0739824387922284;0,6;0,1;0,05;0,25
"18601";488;0,0736465927797257;0,75;0,15;0;0,1
"9781";488;0,0725748516060458;0,75;0,15;0,05;0,05
"10641";488;0,0724530924196876;0,7;0,1;0,15;0,05
"28721";488;0,0721141883414734;0,65;0,1;0,1;0,15
"961";488;0,0719786146467309;0,75;0,15;0,1;0
"1381";488;0,0691122140629986;0,75;0,1;0,15;0
"37541";488;0,0681977589534752;0,65;0,1;0,05;0,2
"19461";488;0,067590853361163;0,7;0,1;0,1;0,1
"9341";488;0,0660962299477329;0,8;0,15;0;0,05
"521";488;0,0653492839455428;0,8;0,15;0,05;0
"46361";488;0,0647804044484012;0,65;0,1;0;0,25
"10201";488;0,063729103883231;0,75;0,1;0,1;0,05
"28281";488;0,0630651885057625;0,7;0,1;0,05;0,15
"941";488;0,060538294970113;0,8;0,1;0,1;0
"37101";488;0,0589918086775143;0,7;0,1;0;0,2
"81";488;0,0589129248669536;0,85;0,15;0;0
"19021";488;0,0586098240183612;0,75;0,1;0,05;0,1
"9761";488;0,0548610559944877;0,8;0,1;0,05;0,05
"27841";488;0,0538718665538567;0,75;0,1;0;0,15
"501";488;0,0518473026826098;0,85;0,1;0,05;0
"18581";488;0,0494707551702607;0,8;0,1;0;0,1
"9321";488;0,0458475205618631;0,85;0,1;0;0,05
"61";488;0,0430612061749435;0,9;0,1;0;0
"22981";547;0,0403504063063442;0,3;0,1;0,5;0,1
"129681";547;0,0397082549016207;0,25;0,05;0;0,7
"92641";547;0,0394112424062537;0,45;0,05;0;0,5
"560611";547;0,039208955031565;0,55;0,1;0,05;0,3
"199011";547;0,0390192839408612;0,65;0,1;0,15;0,1
"66641";547;0,0388870442199508;0,35;0,1;0,2;0,35
"110811";547;0,0385264357369304;0,65;0,1;0,2;0,05
"4461";547;0,0371587722636385;0,4;0,1;0,5;0
