"time";"lambda_T";"B"
328;6,56;0,17149293554746
372;7,44;5,53167849969439
384;7,68;20,0110534535632
479;9,58;7,78588452418756
81;1,62;22,9938103910378
192;3,84;16,4321194158135
281;5,62;10,4568733649684
384;7,68;13,6325187476001
401;8,02;27,5921703305921
403;8,06;38,2354025232006
446;8,92;23,6163786283096
470;9,4;14,7251064226478
480;9,6;2,73008035401785
125;2,5;3,25328830873692
130;2,6;21,0443386753981
147;2,94;19,4580595243319
205;4,1;18,0200330215039
221;4,42;6,3019700534447
226;4,52;2,03507889879476
352;7,04;5,00542328678198
389;7,78;16,0366481710415
427;8,54;22,7565820908284
85;1,7;19,4614841551879
210;4,2;14,2007647959925
255;5,1;2,50666320529034
286;5,72;21,3624220082295
333;6,66;16,584601029673
447;8,94;14,8046410509597
462;9,24;16,7933450194959
466;9,32;11,8127171063529
491;9,82;1,10269603621862
113;2,26;15,7192900764749
293;5,86;51,0597300957724
350;7;15,1612599895519
400;8;6,51241873291235
423;8,46;36,6021520440108
429;8,58;36,5477397974863
434;8,68;33,6037173172985
464;9,28;17,7440487567164
480;9,6;5,29971804125605
93;1,86;15,4422035073197
120;2,4;1,3387907169027
167;3,34;14,2260486266555
192;3,84;27,5998576357491
201;4,02;19,1085220772304
281;5,62;6,70345180009883
312;6,24;23,4775574064654
350;7;14,3257657016463
464;9,28;7,13270535376018
103;2,06;13,8624992592252
147;2,94;3,02883058403549
181;3,62;23,9139737451663
203;4,06;19,2186933467527
270;5,4;2,0342080719795
308;6,16;18,1311242540042
359;7,18;11,7454153871334
395;7,9;18,8048911474286
405;8,1;31,0622017511405
32;0,64;40,3343360784115
54;1,08;37,7772567680465
58;1,16;39,0140053708126
72;1,44;29,6876445958963
220;4,4;23,0489905208987
277;5,54;5
305;6,1;25,2596793765474
367;7,34;9,0213573119113
374;7,48;15,7060084161779
70;1,4;27,7819666472089
72;1,44;29,189048023919
197;3,94;18,820318904234
210;4,2;21,7285895999858
319;6,38;14,3119313709594
386;7,72;6,29593627522335
408;8,16;47,5635305017588
423;8,46;40,0434668730583
479;9,58;14,3999516816521
47;0,94;36,9565674894414
58;1,16;37,8283848373653
138;2,76;12,5111858213667
147;2,94;24,2326011970669
164;3,28;32,7264181195146
174;3,48;28,4427311047878
318;6,36;29,2193482050098
335;6,7;17,6010896286948
350;7;8,51084675633061
38;0,76;49,1581862510387
205;4,1;32,6458960279482
386;7,72;5,2321902875966
423;8,46;29,6201739780725
424;8,48;45,3804481988853
426;8,52;36,1291593372925
441;8,82;28,8385966447001
457;9,14;23,5925162930112
482;9,64;7,03239855230099
149;2,98;19,5065631748339
298;5,96;26,7897960151175
310;6,2;27,8567998748378
350;7;14,5858407572374
389;7,78;14,8988510123119
414;8,28;27,2385706555415
453;9,06;22,1425970125447
490;9,8;4,66462449364156
491;9,82;13,8525428360635
107;2,14;11,2710283415054
155;3,1;10,0779267516996
195;3,9;24,7338595116731
211;4,22;11,8243942738346
245;4,9;2,33302099216508
250;5;18,985857296557
285;5,7;17,8961061769957
304;6,08;28,0277373704578
332;6,64;18,7900958927544
41;0,82;40,132305710742
116;2,32;14,966040247628
239;4,78;0,812502619572841
254;5,08;17,7895801508638
291;5,82;18,262647552913
323;6,46;22,5878232314232
334;6,68;17,0690763032885
367;7,34;0,776204606734479
470;9,4;1,43788477040828
209;4,18;11,0609784356005
212;4,24;8,24651662376327
324;6,48;11,6512684355753
363;7,26;6,40501511589552
365;7,3;12,8691084229696
