"";"time";"Dist";"Var1";"Var2";"Var3"
"727001";396;0,194927982275764;0,02;0,27;0,71
"676301";396;0,194771693951137;0,04;0,3;0,66
"666501";396;0,194758997636052;0,01;0,34;0,65
"656101";396;0,194708624145121;0,04;0,32;0,64
"656201";396;0,194558736483218;0,03;0,33;0,64
"666201";396;0,194500654014124;0,04;0,31;0,65
"6767011";396;0,194307774514412;0;0,34;0,66
"696601";396;0,194009350847619;0,03;0,29;0,68
"666401";396;0,193795247705681;0,02;0,33;0,65
"666301";396;0,193707561340914;0,03;0,32;0,65
"716901";396;0,193456076045494;0,02;0,28;0,7
"686501";396;0,193414348778534;0,03;0,3;0,67
"676401";396;0,193319419471065;0,03;0,31;0,66
"737201";396;0,193130813646508;0,01;0,27;0,72
"676601";396;0,193089346336215;0,01;0,33;0,66
"757501";396;0,193053426982865;0;0,26;0,74
"676501";396;0,192757147418912;0,02;0,32;0,66
"706801";396;0,192516387428698;0,02;0,29;0,69
"686801";396;0,192443659616335;0;0,33;0,67
"686601";396;0,19218395471459;0,02;0,31;0,67
"696701";396;0,192097444744129;0,02;0,3;0,68
"686701";396;0,191860014316885;0,01;0,32;0,67
"727101";396;0,191825360605406;0,01;0,28;0,71
"747401";396;0,191360910684579;0;0,27;0,73
"696801";396;0,191096904433254;0,01;0,31;0,68
"717001";396;0,191060696995236;0,01;0,29;0,7
"696901";396;0,191018864292392;0;0,32;0,68
"706901";396;0,190823590404856;0,01;0,3;0,69
"737301";396;0,190228348841604;0;0,28;0,72
"707001";396;0,190061001370885;0;0,31;0,69
"727201";396;0,1896449183521;0;0,29;0,71
"717101";396;0,189595498444487;0;0,3;0,7
"817001";426;0,0853861309606164;0,11;0,09;0,8
"847501";426;0,0851311296798518;0,09;0,08;0,83
"817201";426;0,0849228863306311;0,09;0,11;0,8
"806901";426;0,0847145038058986;0,11;0,1;0,79
"898401";426;0,0846806987325223;0,05;0,07;0,88
"827401";426;0,083214512927677;0,08;0,11;0,81
"827201";426;0,082485993920894;0,1;0,09;0,81
"817101";426;0,0822394865988127;0,1;0,1;0,8
"857701";426;0,0820397574184924;0,08;0,08;0,84
"908601";426;0,0816485739004543;0,04;0,07;0,89
"837601";426;0,081598124970365;0,07;0,11;0,82
"847801";426;0,0800834514600302;0,06;0,11;0,83
"827301";426;0,0797976742744815;0,09;0,1;0,81
"837401";426;0,0795782719441756;0,09;0,09;0,82
"867901";426;0,0789201845209422;0,07;0,08;0,85
"858001";426;0,0786807669147316;0,05;0,11;0,84
"918801";426;0,0785918758973566;0,03;0,07;0,9
"868201";426;0,0774008097319617;0,04;0,11;0,85
"837501";426;0,0773957857326261;0,08;0,1;0,82
"847601";426;0,0766652931629192;0,08;0,09;0,83
"878401";426;0,0762546669064545;0,03;0,11;0,86
"878101";426;0,0757719810022214;0,06;0,08;0,86
"929001";426;0,0755107494647716;0,02;0,07;0,91
"888601";426;0,0752536225633176;0,02;0,11;0,87
"847701";426;0,0750414925638017;0,07;0,1;0,83
"898801";426;0,0744089701208865;0,01;0,11;0,88
"857801";426;0,0737498923731182;0,07;0,09;0,84
"909001";426;0,0737317911404253;0;0,11;0,89
"857901";426;0,0727435362387056;0,06;0,1;0,84
"888301";426;0,0725947508120231;0,05;0,08;0,87
"939201";426;0,0724054933585018;0,01;0,07;0,92
"868001";426;0,0708355229428176;0,06;0,09;0,85
"868101";426;0,0705118487228186;0,05;0,1;0,85
"898501";426;0,0693881444540779;0,04;0,08;0,88
"949401";426;0,0692766030320178;0;0,07;0,93
"878301";426;0,0683576703143847;0,04;0,1;0,86
"878201";426;0,0679263966397388;0,05;0,09;0,86
"888501";426;0,0662936551558072;0,03;0,1;0,87
"908701";426;0,0661518758564948;0,03;0,08;0,89
"888401";426;0,0650276588473355;0,04;0,09;0,87
"898701";426;0,0643339506156297;0,02;0,1;0,88
"918901";426;0,0628857451919744;0,02;0,08;0,9
"908901";426;0,062494231745207;0,01;0,1;0,89
"898601";426;0,062145608513037;0,03;0,09;0,88
"919101";426;0,0607916668210703;0;0,1;0,9
"929101";426;0,0595896701614578;0,01;0,08;0,91
"908801";426;0,0592879742729236;0,02;0,09;0,89
"919001";426;0,0564642602658799;0,01;0,09;0,9
"939301";426;0,0562637295335723;0;0,08;0,92
"929201";426;0,0536861765660649;0;0,09;0,91
"725301";457;0,0333602911032488;0,19;0,1;0,71
"694801";457;0,0328881199093953;0,21;0,11;0,68
