"";"x"
"93";4,49583078910375
"94";4,64408714745649
"95";4,65253113395253
"96";4,52989834029249
"97";4,44105097761585
"98";4,43328757000767
"99";4,55042273569732
"100";4,56209980779489
"101";4,72782108821636
"102";4,83501183797552
"103";4,88253250191799
"104";4,73247598930295
"105";4,73381126866232
"106";4,61818949516934
"107";4,43833556116946
"108";4,45328297328135
"109";4,25826500584342
"110";4,28601742537129
"111";4,20123154311636
"112";4,30559112399943
"113";4,31120564660615
"114";4,38102790099558
"115";4,38929655497031
"116";4,32571229285749
"117";4,32233435369949
"118";4,24508791030473
"119";4,42444356754044
"120";4,40494413583072
"121";4,32059482617234
"122";4,33586676098826
"123";4,56029588295402
"124";4,48131626427179
"125";4,38777027019302
"126";4,38352340961301
"127";4,44434197247312
"128";4,5679473270899
"129";4,70206758873669
"130";4,81654082674895
"131";4,69279262434628
"132";4,45984100877804
"133";4,72701373522141
"134";4,70936304956389
"135";4,59310362337708
"136";4,60114794377056
"137";4,57237737241058
"138";4,49537824892045
"139";4,51421590371933
"140";4,65129246434711
"141";4,6632957977787
"142";4,67395550284493
"143";4,64605720691797
"144";4,58985771080331
"145";4,63345028062176
"146";4,61140448918409
"147";4,54166255789451
"148";4,52389811219563
"149";4,58930705136166
"150";4,34076863002953
"151";4,40096588902474
"152";4,62401338256158
"153";4,7545309078922
"154";4,69373683166512
"155";4,71241663626907
"156";4,71566798976906
"157";4,74805568884333
"158";4,69168450572489
"159";4,72622458524866
"160";4,82340098956992
"161";4,82844462430976
"162";4,92692959641076
"163";4,96793105797211
"164";4,97427650263557
"165";4,96538572796513
"166";4,88068398210497
"167";4,77698214544372
"168";4,68885470613269
"169";4,76351909440779
"170";4,78635880487164
"171";4,80137407461548
"172";4,88977292358413
"173";5,00570861826072
"174";4,97857934093567
"175";4,94332222635923
"176";4,92675778721516
"177";4,93451562052743
"178";4,79219551240863
"179";4,82700264577186
"180";4,89327611624694
"181";4,82376914885579
"182";4,8764629844356
"183";5,04393579851271
"184";5,05235511539775
"185";5,08517492885138
"186";5,0512960192995
"187";5,03511554493329
"188";5,09294041719813
"189";5,03998435239266
"190";5,04132474378655
"191";4,98426386029783
"192";4,82428371263051
"193";4,91179948931076
"194";4,70671815162616
"195";4,64288423990212
"196";4,49699797732555
"197";4,48313577930746
"198";4,48812303482046
"199";4,51151336340613
"200";4,53166298421584
"201";4,57498133504526
"202";4,59566604579404
"203";4,66090066755674
"204";4,70858394288291
"205";4,68427288666184
"206";4,6771781068252
"207";4,60766091131063
"208";4,5150749123324
"209";4,5113683694607
"210";4,40423888467037
"211";4,34591916660292
"212";4,40890695427608
"213";4,39934911540883
"214";4,28496751230297
"215";4,36866404605198
"216";4,34594171892534
"217";4,31430365440527
"218";4,4405886826103
"219";4,39264070987354
"220";4,48756150455964
"221";4,62102157684289
"222";4,59819157573843
"223";4,68571921735421
"224";4,72521117827982
"225";4,56991477865111
"226";4,57537121103365
"227";4,63434679159392
"228";4,73433859531584
"229";4,85772735468861
"230";4,70543986969979
"231";4,75585679705272
"232";4,86875978199736
"233";4,99027077720564
"234";5,01880466635036
"235";5,04896480698065
"236";5,20582710319248
"237";5,34474071265337
"238";5,29209197225927
"239";5,30716691029783
"240";5,40587434626473
"241";5,54762098239998
"242";5,35031958278163
"243";5,46110327441604
"244";5,41892614534422
"245";5,5229009971473
"246";5,61944107062032
"247";5,655333191295
"248";5,70549594187065
"249";5,73521338156379
"250";5,76484706544306
"251";5,63307288517535
"252";5,58202574128873
"253";5,59178509717559
