"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
72;0,04;24,189048023919;29,189048023919;31,689048023919
197;2,5;18,820318904234;18,820318904234;23,820318904234
210;0,26;14,2285895999858;21,7285895999858;24,2285895999858
319;2,18;11,8119313709594;19,3119313709594;21,8119313709594
386;1,34;6,29593627522335;10;11,2959362752234
408;0,44;35,0635305017588;52,5635305017588;60,0635305017588
423;0,3;37,5434668730583;45,0434668730583;50,0434668730583
479;1,12;16,8999516816521;19,3999516816521;24,3999516816521
47;0,48;34,4565674894414;36,9565674894414;41,9565674894414
58;0,22;32,8283848373653;37,8283848373653;42,8283848373653
138;1,6;11,2555929106833;12,5111858213667;16,2555929106833
147;0,18;26,7326011970669;34,2326011970669;44,2326011970669
164;0,34;27,7264181195146;32,7264181195146;37,7264181195146
174;0,2;30,9427311047878;38,4427311047878;45,9427311047878
318;2,88;26,7193482050098;34,2193482050098;36,7193482050098
335;0,34;15,1010896286948;17,6010896286948;22,6010896286948
350;0,3;5,74457662183469;8,51084675633061;11,7554233781653
38;0,04;44,1581862510387;49,1581862510387;54,1581862510387
205;3,34;27,6458960279482;32,6458960279482;37,6458960279482
386;3,62;7,7321902875966;10,2321902875966;17,7321902875966
423;0,74;27,1201739780725;34,6201739780725;39,6201739780725
424;0,02;42,8804481988853;50,3804481988853;55,3804481988853
426;0,04;41,1291593372925;46,1291593372925;56,1291593372925
441;0,3;31,3385966447001;33,8385966447001;43,8385966447001
457;0,32;21,0925162930112;28,5925162930112;31,0925162930112
482;0,5;9,53239855230099;12,032398552301;17,032398552301
149;0,58;14,5065631748339;19,5065631748339;32,0065631748339
298;2,98;34,2897960151175;46,7897960151175;51,7897960151175
310;0,24;22,8567998748378;27,8567998748378;30,3567998748378
350;0,8;9,58584075723742;14,5858407572374;17,0858407572374
389;0,78;9,8988510123119;14,8988510123119;19,8988510123119
414;0,5;34,7385706555414;42,2385706555415;54,7385706555415
453;0,78;22,1425970125447;27,1425970125447;32,1425970125447
490;0,74;7,33231224682078;14,6646244936416;17,1646244936416
491;0,02;8,85254283606353;13,8525428360635;14,4262714180318
107;1,66;10;11,2710283415054;15,6355141707527
155;0,96;5,07792675169964;10,0779267516996;17,5779267516996
195;0,8;17,2338595116731;24,7338595116731;27,2338595116731
211;0,32;14,3243942738346;21,8243942738346;24,3243942738346
245;0,68;6,16651049608254;7,66697900783492;11,3334895039175
250;0,1;14,4929286482785;18,985857296557;23,985857296557
285;0,7;15;17,8961061769957;21,4480530884979
304;0,38;21,5138686852289;23,0277373704578;28,0277373704578
332;0,56;16,2900958927544;18,7900958927544;23,7900958927544
41;0,34;37,632305710742;40,132305710742;45,132305710742
116;1,5;9,98302012381401;10,033959752372;14,983020123814
239;2,46;5,40625130978642;9,18749738042716;10,8125026195728
254;0,3;12,7895801508638;15;17,7895801508638
291;0,74;18,262647552913;20;25
323;0,64;17,5878232314232;22,5878232314232;25,0878232314232
334;0,22;14,5690763032885;17,0690763032885;22,0690763032885
367;0,66;5,38810230336724;9,22379539326552;10,3881023033672
470;2,06;5,71894238520414;10;11,4378847704083
209;2,34;10,5304892178003;11,0609784356005;16,0609784356005
212;0,06;10,7465166237633;18,2465166237633;20,7465166237633
324;2,24;14,1512684355753;16,6512684355753;21,6512684355753
363;0,78;5,70250755794776;10;11,4050151158955
365;0,04;10,3691084229696;17,8691084229695;20,3691084229696
454;1,78;5,78895343751277;8,42209312497446;13,4220931249745
457;0,06;19,1535031938605;26,6535031938605;29,1535031938605
480;0,46;10,4270067354168;12,9270067354168;17,9270067354168
491;0,22;5,9204149095827;8,15917018083461;11,5795850904173
41;0,44;35,2027387160129;37,7027387160129;42,7027387160129
124;1,66;10,9447131583538;11,8894263167075;15,9447131583538
151;0,54;18,1091188618736;23,1091188618736;33,1091188618736
227;1,52;10,1275947710281;17,6275947710281;20,1275947710281
272;0,9;6,65998902646094;10;15
446;3,48;26,0243528331013;28,5243528331013;33,5243528331013
454;0,16;23,5884830743185;28,5884830743185;33,5884830743185
460;0,12;18,4089891950853;25,9089891950853;28,4089891950853
488;0,56;6,51559365058176;10;13,0311873011635
74;1,4;10,2694852813183;10,5389705626367;18,0389705626367
88;0,28;10,2001205700121;15,2001205700121;17,7001205700121
