"";"x"
"133";1,20352966740558
"134";1,28754848478385
"135";1,33935500314056
"136";1,36822932246578
"137";1,40372394923633
"138";1,3762506220361
"139";1,4688728192122
"140";1,52809814954657
"141";1,49288421017893
"142";1,6536455067794
"143";1,67563373697988
"144";1,74319752888836
"145";1,76678729032892
"146";1,75298302392038
"147";1,67700802155773
"148";1,489403896449
"149";1,5882554418509
"150";1,58282838515169
"151";1,74951870899792
"152";1,75577376828679
"153";1,62608022864338
"154";1,66037795017142
"155";1,77930778155013
"156";1,82816523438253
"157";1,84107736777378
"158";1,75283030114554
"159";1,69097606408062
"160";1,59474689564473
"161";1,7887573567327
"162";1,82450008954566
"163";1,73851077221563
"164";1,69026009173513
"165";1,76033194356456
"166";1,8610911629064
"167";2,06588474132469
"168";2,02410853906411
"169";2,02669132789932
"170";2,01782227532801
"171";1,94630731245978
"172";1,91746354882232
"173";1,93036880675836
"174";1,78207057693094
"175";1,80603846694828
"176";1,5502711701923
"177";1,67441434154513
"178";1,70231001853175
"179";1,64756105042268
"180";1,58920557909385
"181";1,54845108153317
"182";1,6146015490156
"183";1,54209423814014
"184";1,53812874043202
"185";1,47821002635444
"186";1,64400536236741
"187";1,61724028345195
"188";1,66505218401237
"189";1,75340259925793
"190";1,9410112307038
"191";2,1290242651695
"192";2,0585049951206
"193";2,27795584918376
"194";2,1690250593251
"195";2,40674040198834
"196";2,69273034418527
"197";2,63736481622631
"198";2,67321092616789
"199";2,65927775010546
"200";2,68258864116427
"201";2,60274642443938
"202";2,49202342426291
"203";2,68157719776132
"204";2,52723655074367
"205";2,62407501296546
"206";2,62509122221203
"207";2,57723210571477
"208";2,37389741102828
"209";2,33348851301741
"210";2,37673220548456
"211";2,31079010612585
"212";2,33054403311386
"213";2,35928856042182
"214";2,54138040895125
"215";2,54259997613474
"216";2,47113234047692
"217";2,50613455588857
"218";2,73652851070803
"219";2,74701281540369
"220";2,6755339203819
"221";2,75415567706943
"222";2,71829863987803
"223";2,66793166376868
"224";2,56454855754107
"225";2,58616411098416
"226";2,58907455541959
"227";2,55429872671049
"228";2,59505225115165
"229";2,74858644372793
"230";2,86388608799935
"231";2,93142960256666
"232";2,95598335389595
"233";2,96053372010093
"234";2,98384335383937
"235";2,9884749172814
"236";2,84944811759671
"237";2,8289467266271
"238";2,79932430233734
"239";2,79525305259843
"240";2,85501011296989
"241";2,76028042242416
"242";2,7685707486716
"243";2,50794219144686
"244";2,58183506917868
"245";2,40232693022388
"246";2,28289999820431
"247";2,24044055168805
"248";2,32754289487761
"249";2,50385613269022
"250";2,6447356316185
"251";2,54174709739607
"252";2,43551820133383
"253";2,50357571125776
"254";2,68385366536418
"255";2,64865505846315
"256";2,72338690895723
"257";2,67193071599055
"258";2,58019951210798
"259";2,60718559545943
"260";2,83867601905107
"261";2,72456365480961
"262";2,70979931347408
"263";2,68909604916168
"264";2,54116917361989
"265";2,54756576791111
"266";2,57160856179219
"267";2,50979958546664
"268";2,32753237028487
"269";2,26694660508122
"270";2,14091484041733
"271";2,19743149322073
"272";2,21203254134894
"273";2,21122568987046
"274";2,07952729972115
"275";2,0987723589076
"276";2,14918751167445
"277";2,26497884627904
"278";2,18105776820259
"279";2,40603260030545
"280";2,44617794309432
"281";2,37416838186271
"282";2,32700716606874
"283";2,27825508868176
"284";2,34014875808506
"285";2,39168101003726
"286";2,50893883634888
"287";2,27393355600827
"288";2,31862834981777
"289";2,25709214094205
"290";2,11572402287669
"291";2,06050104356801
"292";2,01895301965944
"293";2,07211221745182
"294";2,37232496670133
"295";2,28135477521733
"296";2,42487916087202
"297";2,46032862849844
"298";2,46331222101825
"299";2,39211790058874
"300";2,42752830363197
"301";2,25619473267764
"302";2,09808024137717
"303";2,15126812455838
"304";2,09729683696721
"305";2,03087628246549
"306";2,09408261154093
"307";2,21087614545355
"308";2,24234238689848
"309";2,04677064561357
"310";2,07168525335979
"311";1,97713403841105
"312";2,02767645566414
"313";2,07674571943445
"314";2,06969644772619
"315";1,97577721230113
"316";2,04550168257525
"317";2,07301638801479
"318";2,05751465563682
"319";2,07549947807372
"320";2,04307669625507
"321";2,11755842506693
"322";2,20603549637782
"323";2,27958686650028
"324";2,22174850605087
"325";2,41399246991123
"326";2,53913875574571
"327";2,65281144239068
"328";2,59068749004832
"329";2,3595784177369
"330";2,56100672416695
"331";2,77845564751025
"332";2,63496492755013
"333";2,61087181096679
"334";2,85088103237263
"335";2,83106802032123
"336";2,76300746401149
"337";2,83109905402837
"338";2,76046549474367
"339";2,88986964089393
"340";3,01699169369014
"341";2,91349367036558
"342";2,97430245379026
"343";3,09394016482742
"344";3,27999699171522
"345";3,23682926797043
"346";3,34407482281988
"347";3,33018810934867
"348";3,44138763009661
"349";3,48906681245526
"350";3,35438852748496
"351";3,18562938781682
"352";3,28763420664806
"353";3,37960375379028
"354";3,40345795630229
"355";3,47952632402985
"356";3,42572665769398
"357";3,28168810391085
"358";3,34635067238048
"359";3,54726543589141
"360";3,45969856703381
"361";3,57008319332057
"362";3,58315564568507
"363";3,45084388806898
"364";3,43952662459095
"365";3,43084640810434
"366";3,27113350257636
"367";3,22294494233819
"368";3,06591228087546
"369";3,05772632532029
"370";3,03796797009511
"371";2,96737174365175
"372";2,91294292832269
"373";2,90472679193948
"374";2,8773213519269
"375";3,04920277680446
"376";2,83948840876471
"377";2,9104010602667
"378";2,88348902736696
"379";2,86117546217526
"380";2,82466679447648
"381";2,92403823408947
"382";2,68935615780342
"383";2,71463775881503
"384";2,84441505450599
"385";3,03118771464657
"386";3,0083767607912
"387";3,08253234804192
"388";3,06798835665896
