"time";"lambda_T";"B_Q1";"B_M";"B_Q3"
169;2,26;17,0375320685064;22,0375320685064;24,5375320685064
181;0,24;26,5483522945216;31,5483522945216;41,5483522945216
271;1,8;19,4030380082318;24,4030380082318;29,4030380082318
300;0,58;21,0162080630586;21,0162080630586;26,0162080630586
309;0,18;25,6109079587798;28,1109079587798;33,1109079587798
333;0,48;16,1679601416527;18,6679601416527;23,6679601416527
382;0,98;6,02795514548813;7,94408970902374;11,0279551454881
387;0,1;30,5928631294097;38,0928631294097;40,5928631294097
422;0,7;32,2362249642381;39,7362249642381;44,7362249642381
267;4,88;9,71457512924218;14,4291502584844;15
271;0,08;25,2298467110126;30,2298467110126;30,2298467110126
353;1,64;10,6861158853573;11,3722317707146;16,3722317707146
377;0,48;7,1515454927033;14,3030909854066;16,8030909854066
385;0,16;26,2497325910983;33,7497325910983;36,2497325910983
414;0,58;35,0136872501931;50,0136872501931;57,5136872501931
429;0,3;41,4850994632728;43,9850994632728;51,4850994632728
477;0,96;17,2750251594366;19,7750251594366;24,7750251594366
494;0,34;5,86922060707052;8,26155878585896;11,6307793929295
46;0,8;25,491644359427;27,991644359427;32,991644359427
163;2,34;20,2550200596361;22,7550200596361;27,7550200596361
167;0,08;33,3882889213653;35,8882889213653;43,3882889213653
262;1,9;13,9920191516086;21,4920191516086;28,9920191516086
296;0,68;20;24,947967078902;27,473983539451
313;0,34;22,8304596737803;27,8304596737803;30,3304596737803
333;0,4;15,9824692654218;18,4824692654218;23,4824692654218
361;0,56;5,39113591434088;9,21772817131824;10,3911359143409
489;2,56;5,70547125219028;8,58905749561945;11,7945287478097
43;0,84;23,8718871619079;28,8718871619079;31,3718871619079
77;0,68;23,1993944325073;28,1993944325073;30,6993944325073
84;0,14;23,14642889529;25,64642889529;30,64642889529
110;0,52;13,1365013666404;15;18,1365013666404
120;0,2;7,5;10,6709761973401;23,1709761973401
172;1,04;14,0773956271609;16,5773956271609;24,0773956271609
307;2,7;29,1940515166542;34,1940515166542;41,6940515166542
309;0,04;26,6910252799653;29,1910252799653;34,1910252799653
390;1,62;7,24981504696371;10;12,2498150469637
61;0,88;23,5607075905661;28,5607075905661;33,5607075905661
72;0,22;24,7032284123388;29,7032284123388;34,7032284123388
123;1,02;15,5069840532657;16,0139681065314;20,5069840532657
128;0,1;21,0468978091922;28,5468978091922;38,5468978091922
192;1,28;8,07230321190481;13,0723032119048;18,0723032119048
239;0,94;12,4563741955598;17,4563741955598;22,4563741955598
248;0,18;7,5;10;14,083277778577
362;2,28;5,81550566007092;8,36898867985817;10,8155056600709
478;2,32;5,25685715972636;9,48628568054728;12,2431428402736
81;0,94;21,4664521194763;26,4664521194763;31,4664521194763
106;0,5;13,1106520662637;15;16,2213041325275
