"";"time";"Dist";"Var1";"Var2";"Var3"
"282801";92;0,0875680690259219;0;0,73;0,27
"282701";92;0,0874173977717893;0,01;0,72;0,27
"302901";92;0,0873069990513131;0,01;0,7;0,29
"292801";92;0,0872480308143753;0,01;0,71;0,28
"333301";92;0,0871345614506732;0;0,68;0,32
"292901";92;0,0870269291492525;0;0,72;0,28
"323201";92;0,0867501963765015;0;0,69;0,31
"303001";92;0,0867039888552522;0;0,71;0,29
"313101";92;0,0866089807736806;0;0,7;0,3
"706201";123;0,051554457929669;0,08;0,23;0,69
"767101";123;0,0512936537490107;0,05;0,2;0,75
"716601";123;0,0510577923488544;0,05;0,25;0,7
"828101";123;0,0509512147174734;0,01;0,18;0,81
"706301";123;0,0509491506376061;0,07;0,24;0,69
"726501";123;0,0509206101741207;0,07;0,22;0,71
"797601";123;0,0508570243489605;0,03;0,19;0,78
"746801";123;0,0508115140545143;0,06;0,21;0,73
"726801";123;0,0506093730300319;0,04;0,25;0,71
"716401";123;0,0505269443340723;0,07;0,23;0,7
"737001";123;0,0502233380755049;0,03;0,25;0,72
"716501";123;0,0501659424221373;0,06;0,24;0,7
"747201";123;0,0499032786184253;0,02;0,25;0,73
"777301";123;0,0498312056353199;0,04;0,2;0,76
"736701";123;0,0497348782386913;0,06;0,22;0,72
"757401";123;0,0496527018948991;0,01;0,25;0,74
"726601";123;0,0495318365339053;0,06;0,23;0,71
"757001";123;0,0494782873398635;0,05;0,21;0,74
"767601";123;0,0494749818846127;0;0,25;0,75
"726701";123;0,0494298012413358;0,05;0,24;0,71
"838301";123;0,0492882956640048;0;0,18;0,82
"807801";123;0,0492859122873439;0,02;0,19;0,79
"736901";123;0,0487448225867519;0,04;0,24;0,72
"736801";123;0,0485729407374467;0,05;0,23;0,72
"746901";123;0,048572876154549;0,05;0,22;0,73
"787501";123;0,0483729243387698;0,03;0,2;0,77
"767201";123;0,0481590369455769;0,04;0,21;0,75
"747101";123;0,0481152506650327;0,03;0,24;0,73
"818001";123;0,047711319449492;0,01;0,19;0,8
"747001";123;0,0476543587269924;0,04;0,23;0,73
"757301";123;0,0475454442503913;0,02;0,24;0,74
"757101";123;0,0474381763996081;0,04;0,22;0,74
"767501";123;0,0470398338617563;0,01;0,24;0,75
"797701";123;0,0469208084447128;0,02;0,2;0,78
"777401";123;0,0468567418034482;0,03;0,21;0,76
"757201";123;0,0467804870736485;0,03;0,23;0,74
"777701";123;0,0466028702698698;0;0,24;0,76
"767301";123;0,046334725305117;0,03;0,22;0,75
"828201";123;0,0461346866485378;0;0,19;0,81
"767401";123;0,0459560086355562;0,02;0,23;0,75
"787601";123;0,0455747630654463;0,02;0,21;0,77
"807901";123;0,0454779210780293;0,01;0,2;0,79
"777501";123;0,0452668668322196;0,02;0,22;0,76
"777601";123;0,0451858743332976;0,01;0,23;0,76
"787801";123;0,0444752731820948;0;0,23;0,77
"797801";123;0,0443171350929001;0,01;0,21;0,78
"787701";123;0,0442393695666376;0,01;0,22;0,77
"818101";123;0,0440463306191926;0;0,2;0,8
"797901";123;0,0432574329350654;0;0,22;0,78
"808001";123;0,0430879693668666;0;0,21;0,79
"737101";396;0,196908431876178;0,02;0,26;0,72
"635701";396;0,196828448622091;0,06;0,32;0,62
"656401";396;0,196821742736769;0,01;0,35;0,64
"696501";396;0,196780041239584;0,04;0,28;0,68
"716801";396;0,196720265330548;0,03;0,27;0,7
"666601";396;0,196562794628396;0;0,35;0,65
"635901";396;0,196464298140644;0,04;0,34;0,62
"635801";396;0,196225765729498;0,05;0,33;0,62
"666101";396;0,196140947487939;0,05;0,3;0,65
"646101";396;0,195829629161497;0,03;0,34;0,63
"645901";396;0,195734345982468;0,05;0,32;0,63
"656001";396;0,195700492510099;0,05;0,31;0,64
"686401";396;0,195510204847384;0,04;0,29;0,67
"646001";396;0,195355352206094;0,04;0,33;0,63
"7676011";396;0,195280645008297;0;0,25;0,75
"656301";396;0,195253757027562;0,02;0,34;0,64
"706701";396;0,195090187854704;0,03;0,28;0,69
"747301";396;0,194955932812888;0,01;0,26;0,73
"727001";396;0,194899066766582;0,02;0,27;0,71
"676301";396;0,194746436650501;0,04;0,3;0,66
"666501";396;0,194739160943318;0,01;0,34;0,65
"656101";396;0,194685842731177;0,04;0,32;0,64
"656201";396;0,194537414199054;0,03;0,33;0,64
"666201";396;0,194476751214235;0,04;0,31;0,65
"676701";396;0,19428835513014;0;0,34;0,66
"696601";396;0,193983307036385;0,03;0,29;0,68
"666401";396;0,193774469377366;0,02;0,33;0,65
"666301";396;0,193685416267035;0,03;0,32;0,65
"716901";396;0,193429105196144;0,02;0,28;0,7
"686501";396;0,193389850374003;0,03;0,3;0,67
"676401";396;0,193296212084793;0,03;0,31;0,66
"737201";396;0,1931028007506;0,01;0,27;0,72
"676601";396;0,193069091104535;0,01;0,33;0,66
"757501";396;0,193024173689595;0;0,26;0,74
"676501";396;0,192735622484692;0,02;0,32;0,66
"706801";396;0,192491155783413;0,02;0,29;0,69
"686801";396;0,192423905137286;0;0,33;0,67
"686601";396;0,192161432646047;0,02;0,31;0,67
"696701";396;0,192073697475906;0,02;0,3;0,68
"686701";396;0,191839091789679;0,01;0,32;0,67
"727101";396;0,191799248169829;0,01;0,28;0,71
"747401";396;0,191333799436061;0;0,27;0,73
"696801";396;0,191075059759574;0,01;0,31;0,68
"717001";396;0,191036271360433;0,01;0,29;0,7
"696901";396;0,19099852533799;0;0,32;0,68
"706901";396;0,190800583202082;0,01;0,3;0,69
"737301";396;0,190203091210557;0;0,28;0,72
"707001";396;0,190039820169065;0;0,31;0,69
"727201";396;0,189621287116384;0;0,29;0,71
"717101";396;0,189573217930286;0;0,3;0,7
"428901";426;0,022699196540228;0,54;0,04;0,42
"530801";426;0,0226395469622427;0,45;0,03;0,52
"469701";426;0,0225138689126899;0,5;0,04;0,46
"439101";426;0,0224702155043383;0,53;0,04;0,43
"459501";426;0,0223767235057413;0,51;0,04;0,45
"449301";426;0,0223621235457786;0,52;0,04;0,44
"214501";426;0,0219042350060822;0,77;0,02;0,21
"398101";426;0,021898949115346;0,59;0,02;0,39
"275801";426;0,0217742517002756;0,7;0,03;0,27
"520601";426;0,0209711851977361;0,46;0,03;0,51
"387901";426;0,0204344128723687;0,6;0,02;0,38
"224701";426;0,0203357025487497;0,76;0,02;0,22
"286001";426;0,0200384807897769;0,69;0,03;0,28
"510401";426;0,0193083080573672;0,47;0,03;0,5
"377701";426;0,0190375141047168;0,61;0,02;0,37
"234901";426;0,0188580514949842;0,75;0,02;0,23
"296201";426;0,0183155280810452;0,68;0,03;0,29
"367501";426;0,0177255711543608;0,62;0,02;0,36
"500201";426;0,0176525657948958;0,48;0,03;0,49
"245101";426;0,0174911236713379;0,74;0,02;0,24
"306401";426;0,0166078459620001;0,67;0,03;0,3
"357301";426;0,0165216631903141;0,63;0,02;0,35
"255301";426;0,0162594977441682;0,73;0,02;0,25
"490001";426;0,0160066508416799;0,49;0,03;0,48
"347101";426;0,015453598964592;0,64;0,02;0,34
"265501";426;0,0151925910179362;0,72;0,02;0,26
"316601";426;0,0149189968438396;0,66;0,03;0,31
"336901";426;0,0145540832083905;0,65;0,02;0,33
"479801";426;0,0143743487523657;0,5;0,03;0,47
